Horodateur,Q1. Quel est votre rôle principal dans les projets Agile ?,Q2. Années d’expérience professionnelle,Q3. Années d’expérience en Agile,Q4. Taille de votre organisation,Q5. Secteur d’activité,Q6. Type d’organisation,Q7. Niveau de maturité Agile dans votre organisation,Q8. Localisation principale de votre équipe,Q9. Taille typique de votre équipe Agile,Q10. Domaine principal de vos projets Agile,Q11. Notre équipe Agile utilise des outils d’IA dans les activités quotidiennes du projet.,Q12. Nombre d’outils d’IA distincts utilisés par l’équipe,"Q13. L’utilisation de l’IA est intégrée dans des processus formalisés (procédures, règles, documentation).",Q14. L’utilisation de l’IA est principalement :,Q15. Les résultats produits par l’IA sont revus / validés avant leur utilisation.,"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q16. IA générative (LLM, assistants conversationnels)]","Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q17. Machine learning prédictif (prévisions, estimation, risques)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q18. Outils d’aide à la décision / recommandations],"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q19. Outils NLP (analyse de tickets, exigences, feedback)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q20. Génération de code / assistants de développement],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q21. Génération ou automatisation de tests / QA],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q22. Tableaux de bord analytiques prédictifs],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q23. Automatisation des workflows / bots],"Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q24 — ENVISION (Vision produit, périmètre, objectifs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q25 — SPECULATE (Planification, gestion du backlog, estimation, priorisation)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q26 — EXPLORE (Développement, tests, assistance implémentation, détection de bugs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q27 — ADAPT (Revue et ajustement, analyse de performance, sprint review)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q28 — CLOSE (Clôture, rétrospective, leçons apprises, actions d’amélioration)]",Mécanismes de création de valeur de l'IA  [Q29. L’utilisation de l’IA a un impact sur la manière dont les décisions sont prises dans nos projets Agile.],"Mécanismes de création de valeur de l'IA  [Q30. L’utilisation de l’IA a un impact sur la qualité des décisions (ex. priorisation, arbitrages).]","Mécanismes de création de valeur de l'IA  [Q31. L’utilisation de l’IA a un impact sur le volume de travail manuel (ex. reporting, synthèses, documentation).]",Mécanismes de création de valeur de l'IA  [Q32. L’utilisation de l’IA a un impact sur les activités de tests et de qualité.],Mécanismes de création de valeur de l'IA  [Q33. L’utilisation de l’IA a un impact sur la communication et la compréhension partagée au sein de l’équipe.],Mécanismes de création de valeur de l'IA  [Q34. L’utilisation de l’IA a un impact sur la visibilité de l’avancement et la coordination du travail.],"Q35. Depuis l’adoption de l’IA, la performance de livraison des sprints a :","Impacts observés depuis l'adoption de l'IA [Q36. Depuis l’adoption de l’IA, la productivité / vélocité a :]","Impacts observés depuis l'adoption de l'IA [Q37. Depuis l’adoption de l’IA, le nombre de défauts après livraison a :]","Impacts observés depuis l'adoption de l'IA [Q38. Depuis l’adoption de l’IA, la dette technique / maintenabilité a :]",Q39. L’impact global de l’IA sur le succès des projets Agile dans votre contexte est :,Q40. Quels sont les principaux défis rencontrés avec l’IA ? (max 3)
31/03/2026 14:50:11,Consultant,0–2 ans,0–1 an,1000 employés et +,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,10–15 personnes,IT interne,Rarement,1,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Fortement utilisé,Faiblement utilisé,Modérément utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Fortement utilisé,Fortement utilisé,Jamais,Jamais,Rarement,Rarement,Jamais,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,3,Fortement augmenté,Stable,Stable,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Coût des outils, Difficulté d’intégration, Sécurité"
31/03/2026 14:56:32,Chef de projet / Project Manager,3–5 ans,2–3 ans,1000 employés et +,Industrie,Privée,Agile largement déployé dans l’organisation,Sud,16 personnes et +,Autre,Parfois,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Faiblement utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Rarement,Parfois,Souvent,Souvent,Parfois,Plutôt d’accord,Neutre,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Stable,Stable,4,"Faible confiance dans les résultats IA, Dépendance excessive, Difficulté d’intégration"
31/03/2026 15:23:01,Spécialiste Data / IA,3–5 ans,2–3 ans,250–999 employés,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Infrastructure / Cloud,Parfois,0,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",1,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,2,Stable,Stable,Stable,2,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Coût des outils, Difficulté d’intégration, Sécurité, Biais / équité, Gouvernance / absence de règles, Explicabilité, Résistance au changement"
31/03/2026 15:29:18,Autre,16 ans et +,4–6 ans,50–249 employés,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Île-de-France,3–5 personnes,Infrastructure / Cloud,Jamais,0,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",1,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,3,Stable,Stable,Stable,3,Biais / équité
31/03/2026 15:33:12,Consultant,6–10 ans,4–6 ans,1000 employés et +,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Ouest,16 personnes et +,Produit Data / IA,Très souvent,6 et +,5,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),5,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Parfois,Parfois,Souvent,Parfois,Parfois,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,5,Fortement augmenté,Fortement augmenté,Fortement augmenté,5,"Confidentialité / RGPD, Dépendance excessive, Sécurité"
31/03/2026 17:15:23,Consultant,0–2 ans,0–1 an,1000 employés et +,Industrie,Privée,Agile limité à quelques équipes pilotes,Équipe distribuée / Remote,6–9 personnes,Développement produit,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Très fortement utilisé,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Parfois,Parfois,Jamais,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,3,Augmenté,Stable,Stable,4,"Faible confiance dans les résultats IA, Dépendance excessive, Biais / équité"
31/03/2026 18:14:24,Autre,3–5 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,3–5 personnes,Infrastructure / Cloud,Parfois,4–5,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Fortement utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Faiblement utilisé,Parfois,Souvent,Souvent,Souvent,Souvent,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt pas d’accord,Neutre,Neutre,4,Augmenté,Augmenté,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive"
31/03/2026 18:37:59,Consultant,6–10 ans,2–3 ans,250–999 employés,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,10–15 personnes,Processus métier,Parfois,1,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Faiblement utilisé,Faiblement utilisé,Modérément utilisé,Modérément utilisé,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Rarement,Parfois,Parfois,Souvent,Parfois,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,3,Diminué,Stable,Stable,3,"Faible confiance dans les résultats IA, Difficulté d’intégration, Sécurité"
02/04/2026 09:44:31,Développeur,0–2 ans,2–3 ans,1–49 employés,Finance / Assurance,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Développement produit,Souvent,2–3,5,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Fortement utilisé,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Pas du tout d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Pas du tout d’accord,3,Augmenté,Stable,Augmenté,3,Difficulté d’intégration
02/04/2026 15:36:20,Chef de projet / Project Manager,0–2 ans,2–3 ans,1000 employés et +,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Île-de-France,6–9 personnes,Autre,Parfois,1,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Fortement utilisé,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Jamais,Jamais,Parfois,Jamais,Jamais,Pas du tout d’accord,Plutôt pas d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Pas du tout d’accord,4,Augmenté,Stable,Stable,3,"Faible confiance dans les résultats IA, Coût des outils, Difficulté d’intégration, Sécurité, Biais / équité, Gouvernance / absence de règles"
02/04/2026 16:15:17,Développeur,0–2 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Processus métier,Souvent,2–3,1,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Souvent,Rarement,Jamais,Plutôt pas d’accord,Pas du tout d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,3,Stable,Stable,Diminué,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Sécurité"
02/04/2026 16:50:47,Développeur,3–5 ans,4–6 ans,1000 employés et +,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,10–15 personnes,Développement produit,Jamais,0,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",1,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,1,Fortement diminué,Fortement diminué,Fortement diminué,1,Autre
02/04/2026 16:54:45,Spécialiste Data / IA,0–2 ans,0–1 an,1000 employés et +,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,4–5,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Faiblement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Très souvent,Très souvent,Très souvent,Souvent,Parfois,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,5,Fortement augmenté,Diminué,Diminué,4,"Confidentialité / RGPD, Dépendance excessive, Coût des outils"
02/04/2026 19:06:44,Spécialiste Data / IA,3–5 ans,2–3 ans,250–999 employés,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Rarement,1,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Fortement utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Fortement utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Parfois,Rarement,Rarement,Parfois,Rarement,Neutre,Neutre,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,3,Augmenté,Stable,Augmenté,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA"
11/04/2026 11:50:32,Chef de projet / Project Manager,3–5 ans,2–3 ans,1000 employés et +,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Souvent,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,5,Fortement augmenté,Diminué,Stable,5,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive"
11/04/2026 19:38:47,Chef de projet / Project Manager,6–10 ans,4–6 ans,1000 employés et +,IT / Logiciel,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Île-de-France,6–9 personnes,IT interne,Parfois,1,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Fortement utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Souvent,Souvent,Jamais,Parfois,Souvent,Neutre,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,3,Augmenté,Diminué,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation"
12/04/2026 16:26:06,Développeur,3–5 ans,2–3 ans,250–999 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Île-de-France,3–5 personnes,Développement produit,Très souvent,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Souvent,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,5,Fortement augmenté,Diminué,Stable,5,"Coût des outils, Difficulté d’intégration, Sécurité"
16/04/2026 19:53:27,Autre,16 ans et +,7 ans et +,1000 employés et +,Secteur public,Publique,Agile adopté par plusieurs équipes,Île-de-France,3–5 personnes,Développement produit,Souvent,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Modérément utilisé,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Rarement,Rarement,Très souvent,Souvent,Jamais,Plutôt pas d’accord,Plutôt pas d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Neutre,3,Stable,Diminué,Fortement diminué,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Coût des outils, Sécurité"
18/04/2026 22:07:25,Consultant,3–5 ans,2–3 ans,1000 employés et +,Conseil / Consulting,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Très souvent,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,5,Fortement augmenté,Diminué,Stable,5,"Confidentialité / RGPD, Dépendance excessive, Coût des outils"
18/04/2026 22:13:45,Product Owner,6–10 ans,4–6 ans,1000 employés et +,Finance / Assurance,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Souvent,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,5,Fortement augmenté,Diminué,Stable,5,"Dépendance excessive, Coût des outils, Résistance au changement"
18/04/2026 22:15:47,Développeur,6–10 ans,2–3 ans,250–999 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Développement produit,Très souvent,4–5,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Très souvent,Très souvent,Très souvent,Souvent,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,5,Fortement augmenté,Fortement diminué,Stable,5,"Coût des outils, Difficulté d’intégration, Sécurité"
18/04/2026 22:17:33,Spécialiste Data / IA,3–5 ans,2–3 ans,1000 employés et +,Finance / Assurance,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Processus métier,Très souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Très souvent,Très souvent,Très souvent,Souvent,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,5,Fortement augmenté,Diminué,Stable,5,"Dépendance excessive, Coût des outils, Difficulté d’intégration"
20/04/2026 13:08:48,Consultant,0–2 ans,0–1 an,250–999 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,3,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),3,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Parfois,Parfois,Très souvent,Très souvent,Parfois,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,4,Augmenté,Diminué,Augmenté,4,"Confidentialité / RGPD, Coût des outils, Difficulté d’intégration"
20/04/2026 13:20:33,Spécialiste Data / IA,11–15 ans,7 ans et +,1000 employés et +,Finance / Assurance,Privée,Agile largement déployé dans l’organisation,Île-de-France,3–5 personnes,Produit Data / IA,Très souvent,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",1,Fortement utilisé,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Très fortement utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Parfois,Parfois,Très souvent,Jamais,Jamais,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,4,Augmenté,Stable,Stable,5,"Confidentialité / RGPD, Coût des outils, Sécurité"
20/04/2026 13:22:50,Product Owner,0–2 ans,0–1 an,1–49 employés,Autre,Privée,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,1,4,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),5,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Fortement utilisé,Pas du tout utilisé,Jamais,Jamais,Parfois,Rarement,Rarement,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Neutre,Tout à fait d’accord,3,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive"
20/04/2026 14:24:14,Manager / Responsable,6–10 ans,4–6 ans,1000 employés et +,Secteur public,Publique,Agile largement déployé dans l’organisation,Île-de-France,16 personnes et +,Infrastructure / Cloud,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Parfois,Souvent,Souvent,Souvent,Souvent,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,5,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Manque de compétences / formation, Coût des outils, Difficulté d’intégration"
20/04/2026 14:27:54,Product Owner,16 ans et +,7 ans et +,250–999 employés,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Multi-sites,16 personnes et +,Processus métier,Souvent,4–5,4,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Fortement utilisé,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Très souvent,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Diminué,Stable,5,"Confidentialité / RGPD, Dépendance excessive, Manque de compétences / formation, Coût des outils, Sécurité, Résistance au changement"
20/04/2026 17:19:00,Chef de projet / Project Manager,6–10 ans,4–6 ans,50–249 employés,Industrie,Privée,Agile adopté par plusieurs équipes,Nord,3–5 personnes,Produit Data / IA,Rarement,1,3,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",4,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Rarement,Rarement,Jamais,Jamais,Jamais,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,3,Augmenté,Stable,Stable,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation, Coût des outils, Sécurité, Résistance au changement"
20/04/2026 17:21:21,QA / Test,0–2 ans,0–1 an,1000 employés et +,Industrie,Privée,Agile limité à quelques équipes pilotes,Sud,3–5 personnes,Processus métier,Rarement,1,2,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Rarement,Jamais,Rarement,Rarement,Jamais,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,4,Augmenté,Augmenté,Stable,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Coût des outils, Sécurité, Gouvernance / absence de règles, Résistance au changement"
20/04/2026 17:25:40,Manager / Responsable,16 ans et +,7 ans et +,50–249 employés,Commerce / Retail,Privée,Agile largement déployé dans l’organisation,Multi-sites,6–9 personnes,Produit Data / IA,Souvent,4–5,4,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Parfois,Souvent,Souvent,Souvent,Parfois,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Neutre,Neutre,4,Augmenté,Diminué,Diminué,5,"Confidentialité / RGPD, Coût des outils, Sécurité"
20/04/2026 17:28:50,Scrum Master,6–10 ans,4–6 ans,50–249 employés,Conseil / Consulting,Privée,Agile adopté par plusieurs équipes,Multi-sites,6–9 personnes,Processus métier,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Faiblement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Souvent,Souvent,Parfois,Souvent,Souvent,Plutôt pas d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Stable,Stable,4,"Manque de compétences / formation, Coût des outils"
20/04/2026 23:20:10,Chef de projet / Project Manager,6–10 ans,2–3 ans,1000 employés et +,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Très souvent,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Parfois,Souvent,Très souvent,Très souvent,Rarement,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt pas d’accord,Plutôt pas d’accord,5,Fortement augmenté,Diminué,Stable,5,"Coût des outils, Gouvernance / absence de règles, Résistance au changement"
21/04/2026 11:38:55,Spécialiste Data / IA,0–2 ans,0–1 an,250–999 employés,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Sud,6–9 personnes,Produit Data / IA,Souvent,4–5,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Fortement utilisé,Modérément utilisé,Fortement utilisé,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Souvent,Souvent,Très souvent,Très souvent,Souvent,Plutôt d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Coût des outils, Sécurité"
